13880	50
14299	14495	2	2	2	2
14299	16500	2	2	2	2
44901	44950	0	0	1	1
45204	45307	0	0	0	1
45405	45832	0	0	0	1
45882	46243	0	0	2	1
46359	46840	0	0	0	1
48114	48423	2	2	2	2
48114	48613	2	2	1	2
48114	48717	2	2	3	2
48114	48802	2	2	1	2
48137	48613	2	0	1	2
48725	48802	2	3	1	2
48725	49180	2	2	2	2
48912	49180	2	0	2	2
48912	49406	2	0	3	2
50233	73967	2	1	0	2
80964	82775	0	0	1	2
82860	84223	0	0	0	2
84333	84630	0	0	0	2
84746	85291	2	0	1	2
85485	85594	0	0	0	2
85697	86126	2	1	2	2
134786	179992	1	0	0	1
134892	179992	1	2	0	1
135302	179992	1	2	0	1
135559	179992	1	1	0	1
148227	148442	2	0	0	2
180128	197909	1	0	0	1
180128	209887	1	0	3	1
198005	209887	1	1	3	1
210048	218453	1	0	1	1
210048	221193	1	0	1	1
210048	236836	1	0	0	1
218499	221193	1	2	1	1
221356	236836	1	1	0	1
236915	237583	1	1	1	1
236915	239436	1	1	0	1
237677	239436	1	2	0	1
239525	240054	1	2	0	1
239525	240057	1	2	0	1
240111	240891	1	2	0	1
240111	242019	1	2	0	1
240970	242019	1	0	0	1
242139	246764	1	2	1	1
244600	246764	1	2	1	1
246973	247396	1	3	0	1
247466	248334	1	0	1	1
248608	248901	1	2	0	1
249088	252346	1	1	0	1
277577	281198	2	0	1	2
281323	283270	2	0	2	2
283446	286271	2	0	2	2
286347	288362	2	0	2	2
288421	310029	2	0	3	2
310092	311535	2	1	4	2
310092	327004	2	1	10	2
311566	327004	2	0	2	2
325019	327004	2	0	2	2
327176	329431	2	1	2	2
329601	341197	2	0	8	2
341329	344807	2	0	2	2
344918	344997	2	0	3	2
345110	348639	2	2	2	2
348762	349329	2	1	2	2
349454	356424	2	1	1	2
356506	357826	2	0	2	2
357937	362488	2	0	2	2
362691	363195	2	1	2	2
363311	364372	2	1	2	2
364582	366273	2	2	2	2
365021	366273	2	0	2	2
366411	369492	2	0	2	2
369633	382645	2	1	2	2
382761	384025	2	1	0	2
384146	384544	2	0	2	2
384639	387743	2	0	0	2
387809	389989	2	0	2	2
390093	390262	2	0	2	2
390373	390738	2	2	3	2
390863	399107	2	1	2	2
399219	408924	2	2	1	2
409017	413911	2	1	1	2
414110	415767	2	0	2	2
415888	419063	2	1	1	2
419199	422822	2	0	2	2
423033	440869	2	0	3	2
437915	440966	1	2	0	1
440996	472437	2	0	4	2
472549	484779	2	1	1	2
472549	486457	2	1	0	2
484948	486457	2	0	0	2
486530	689492	2	2	2	2
628897	629857	1	3	0	1
650178	650289	1	2	1	1
650442	650786	1	1	0	1
650442	662024	1	1	1	1
662118	662789	1	2	0	1
663702	666216	1	3	0	1
744033	744575	1	1	1	1
808272	812919	2	0	0	2
813213	814635	2	1	1	2
813213	814740	2	1	1	2
814850	814944	2	0	0	2
815070	817723	2	0	1	2
817889	820798	2	0	0	2
820845	825063	2	1	2	2
825316	825762	4	1	3	2
825870	829383	2	3	1	2
829594	829679	2	1	2	2
829734	830865	2	1	2	2
830977	836401	2	1	0	2
836506	842930	2	0	0	2
843068	844975	2	1	2	2
845055	863741	2	1	2	2
863883	864121	2	1	1	2
864270	870007	2	3	0	2
864270	870011	2	3	0	2
864270	884445	2	3	2	2
870083	884445	2	0	4	2
884506	885639	2	0	1	2
885760	903206	2	0	3	2
885760	924381	2	0	2	2
885760	931426	2	0	4	2
903343	903428	2	7	0	2
924433	931426	2	0	3	2
933115	942185	1	0	0	1
942239	942478	1	2	0	1
