46414
0	238	0
436	543	239
0	161	0
2364	2406	162
0	189	0
240	492	190
597	693	443
1122	1170	540
1533	1647	589
2130	2172	704
0	1222	0
1827	2020	1223
2516	3341	1417
27077	27271	2243
0	1161	0
1851	1959	1162
2229	2324	1271
0	1161	0
1662	1772	1162
1851	1959	1273
2229	2636	1382
0	1080	0
1558	1668	1081
1747	1855	1192
2125	2236	1301
0	620	0
1121	1231	621
1688	1775	732
0	536	0
847	1147	537
1226	1334	838
1830	1943	947
0	409	0
910	1207	410
1477	1564	708
0	570	0
2383	2466	571
3831	3939	655
4238	4352	764
4899	5091	879
5202	5303	1072
5734	5871	1174
0	321	0
45529	45663	322
75424	75583	457
102373	102450	617
103120	103186	695
0	321	0
45529	45663	322
75424	75583	457
86730	86891	617
102373	102450	779
103120	103212	857
104973	105060	950
105591	105646	1038
106428	106505	1094
107556	107674	1172
112301	112508	1291
112933	113001	1499
113871	114143	1568
114438	114623	1841
117883	118005	2027
0	321	0
45529	45663	322
75424	75583	457
102373	102450	617
103120	103212	695
104973	105060	788
105591	105646	876
107556	107674	932
112301	112508	1051
112933	113001	1259
113871	114143	1328
114438	114623	1601
117883	120161	1787
0	408	0
45510	45644	409
75405	75564	544
102354	102431	704
104954	105041	782
105572	105627	870
106409	106486	926
107537	107655	1004
112282	112489	1123
112914	112982	1331
113852	114124	1400
114419	114604	1673
117864	120142	1859
0	408	0
45510	45644	409
75405	75564	544
102354	102431	704
103101	103193	782
104954	105041	875
105575	105627	963
106409	106486	1016
107537	107655	1094
112282	112489	1213
112914	112982	1421
113852	114124	1490
114419	114604	1763
117864	120142	1949
0	189	0
45291	45425	190
75186	75345	325
86492	86653	485
102135	102212	647
102882	102974	725
104735	104822	818
105356	105408	906
106190	106267	959
107318	107436	1037
112063	112270	1156
112695	112763	1364
113633	113905	1433
114200	114558	1706
0	233	0
44925	45059	234
74820	74979	369
86126	86287	529
101769	101846	691
102516	102608	769
104369	104456	862
104987	105042	950
105824	105901	1006
106952	107070	1084
111697	111904	1203
112329	112397	1411
113267	113539	1480
113834	114019	1753
117279	119568	1939
0	75	0
44510	44644	76
74405	74564	211
101354	101431	371
102101	102193	449
103954	104041	542
104572	104627	630
106537	106655	686
111282	111489	805
111914	111982	1013
112852	113124	1082
113419	113604	1355
116864	116986	1541
0	75	0
44510	44644	76
74405	74564	211
101354	101431	371
102101	102193	449
103954	104041	542
104572	104627	630
105409	105486	686
106537	106655	764
111282	111489	883
111914	111982	1091
112852	113124	1160
113419	113604	1433
116864	119142	1619
0	50	0
44485	44619	51
74380	74539	186
85686	85847	346
101329	101406	508
103929	104016	586
104547	104602	674
105384	105461	730
106512	106630	808
111257	111464	927
111889	111957	1135
112827	113099	1204
113394	113579	1477
116839	119125	1663
0	407	0
624	931	408
0	112	0
0	138	0
29899	30058	139
56848	56925	299
59448	59535	377
60066	60121	465
60903	60980	521
62031	62149	599
66776	66983	718
67408	67476	926
68346	68618	995
68913	69098	1268
72358	72590	1454
0	134	0
29895	30054	135
38461	38505	295
41201	41362	340
56844	56921	502
57591	57669	580
0	134	0
17917	18011	135
29895	30054	230
41201	41362	390
56844	56921	552
57591	57683	630
59444	59531	723
60062	60117	811
60899	60976	867
62027	62145	945
66772	66979	1064
67404	67472	1272
68342	68614	1341
68909	69094	1614
72354	73262	1800
0	115	0
29876	30035	116
41182	41343	276
56825	56902	438
57572	57664	516
59425	59512	609
60043	60098	697
60880	60957	753
62008	62126	831
66753	66960	950
67385	67453	1158
68323	68595	1227
68890	69248	1500
0	64	0
11948	12107	65
23254	23415	225
38897	38974	387
39644	39736	465
41497	41584	558
42115	42170	646
42952	43029	702
44080	44198	780
48825	49032	899
49457	49525	1107
50395	50667	1176
50962	51147	1449
54407	56685	1635
0	149	0
931	1008	150
2059	2177	228
6804	7037	347
0	129	0
2295	2502	130
2927	2995	338
3865	4060	407
0	3387	0
7010	7133	3388
9082	9256	3512
12083	12157	3687
14174	14231	3762
35841	35902	3820
52816	52986	3882
55243	55411	4053
67009	67139	4222
70619	70728	4353
70809	70920	4463
74451	74572	4575
75141	75264	4697
82236	82316	4821
83638	83747	4902
88300	88501	5012
89007	89121	5214
90184	90392	5329
92085	92221	5538
95304	95443	5675
108457	108571	5815
109837	109956	5930
110356	110449	6050
113555	113619	6144
115801	115903	6209
116074	116183	6312
116550	116673	6422
124919	125029	6546
134736	134827	6657
139723	139920	6749
141579	141698	6947
144875	145009	7067
148634	148843	7202
166681	166806	7412
198249	198359	7538
212269	212368	7649
0	3379	0
7002	7125	3380
9074	9248	3504
12075	12149	3679
14166	14223	3754
35833	35894	3812
52808	52978	3874
55235	55403	4045
67001	67131	4214
70611	70720	4345
70801	70912	4455
74443	74564	4567
75133	75256	4689
82228	82308	4813
83630	83739	4894
88292	88493	5004
88999	89113	5206
90176	90384	5321
92077	92213	5530
95296	95435	5667
108449	108563	5807
109829	109948	5922
110348	110441	6042
113547	113611	6136
115793	115895	6201
116066	116175	6304
116542	116665	6414
124911	125021	6538
134728	134819	6649
139715	139912	6741
141571	141690	6939
144867	145001	7059
148626	148835	7194
166673	166798	7404
198241	198351	7530
212261	212332	7641
415296	415470	7713
0	254	0
3877	4000	255
5949	6123	379
8950	9024	554
11041	11098	629
32708	32769	687
34214	34243	749
49683	49853	779
52110	52278	950
63876	64006	1119
67486	67595	1250
67676	67787	1360
71318	71439	1472
72008	72131	1594
79103	79183	1718
80505	80614	1799
85167	85368	1909
85874	85988	2111
87051	87259	2226
88952	89088	2435
92171	92310	2572
105324	105438	2712
106704	106823	2827
107223	107316	2947
110422	110486	3041
112668	112770	3106
112941	113050	3209
113417	113540	3319
121786	121896	3443
131603	131694	3554
136590	136787	3646
138446	138565	3844
141742	141876	3964
145501	145710	4099
163548	163673	4309
195116	195226	4435
207458	207625	4546
209136	209207	4714
412171	412345	4786
0	110	0
0	380	0
2367	2537	381
4794	4887	552
0	59	0
1313	1449	60
4532	4671	197
17685	17799	337
19065	19184	452
19584	19677	572
22783	22847	666
25029	25054	731
0	265	0
0	354	0
3407	3609	355
0	259	0
1221	2617	260
0	89	0
0	230	0
343	494	231
840	2707	383
0	365	0
11949	12041	366
12714	19504	459
0	144	0
2660	3064	145
0	41	0
585	966	42
0	1358	0
6007	6299	1359
7828	7936	1652
8032	8096	1761
0	6299	0
7828	7936	6300
8032	8156	6409
10811	10975	6534
13886	13931	6699
18151	18402	6745
18850	18956	6997
22471	22680	7104
22767	22820	7314
23953	24063	7368
29489	29592	7479
36018	36154	7583
38063	38141	7720
56829	56969	7799
57209	57356	7940
77533	77592	8088
78727	78846	8148
124514	124791	8268
0	3671	0
5200	5308	3672
5404	5528	3781
8183	8347	3906
11258	11303	4071
15523	15774	4117
16222	16328	4369
19843	20052	4476
20139	20192	4686
21325	21435	4740
26861	26964	4851
33390	33526	4955
35435	35513	5092
54201	54341	5171
54581	54728	5312
74905	74964	5460
76099	76220	5520
0	1407	0
2936	3044	1408
3140	3264	1517
5919	9124	1642
0	707	0
2131	2344	708
2440	2564	922
5219	5383	1047
8294	8339	1212
12559	12738	1258
0	408	0
504	628	409
3283	3404	534
0	408	0
504	628	409
3283	3404	534
0	88	0
184	953	89
0	140	0
380	527	141
6270	6340	289
20704	20763	360
21898	22017	420
67685	67757	540
0	104	0
344	491	105
20668	20727	253
21862	21981	313
60604	60654	433
67649	67845	484
0	116	0
5855	5929	117
20293	20352	192
21487	21606	252
67274	67322	372
0	29	0
20206	20265	30
21400	21519	90
38967	39102	210
39189	39274	346
0	89	0
9161	9213	90
9454	9717	143
0	1847	0
17158	17195	1848
0	3103	0
0	508	0
4470	4640	509
7910	8013	680
8087	8223	784
9189	9289	921
10984	11076	1022
12658	12849	1115
12929	12994	1307
17799	17888	1373
18999	19109	1463
20939	21016	1574
21510	21561	1652
22401	22501	1704
24446	24643	1805
26228	26293	2003
27734	27877	2069
29056	31917	2213
0	65	0
4027	4197	66
7644	8846	237
10541	10633	1440
12215	12406	1533
12486	12551	1725
17356	17445	1791
18556	18666	1881
20496	20573	1992
21067	21118	2070
21958	22055	2122
0	242	0
3783	3953	243
7223	7326	414
7400	7536	518
8502	8602	655
0	69	0
1180	1482	70
0	262	0
1847	1912	263
3353	3496	329
4675	4797	473
0	927	0
1860	1990	928
3776	3868	1059
5675	5837	1152
6909	6952	1315
0	117	0
14123	14227	118
20863	21535	223
0	115	0
12622	12754	116
13146	13308	249
14121	14225	412
20861	21015	517
0	115	0
13146	13308	116
14121	14225	279
20861	21530	384
0	109	0
12616	12832	110
13140	13247	327
0	70	0
6706	6763	71
6766	6858	129
6863	6898	222
6903	6935	258
6938	7201	291
0	2352	0
3480	3610	2353
