6894
ENST00000562162.1	14060	14603	14603	2	2	0	0
ENST00000566940.1	14137	16543	14603	2	2	2	0
ENST00000416477.1	44711	46883	16543	1	6	4	1
ENST00000564130.2	46891	74162	46883	2	4	10	2
ENST00000568866.5	46952	49276	74162	2	3	14	2
ENST00000568584.5	46952	49588	74162	2	4	17	2
ENST00000561967.1	47056	49292	74162	2	4	21	2
ENST00000562809.1	47493	49268	74162	2	3	25	2
ENST00000567466.1	47577	49520	74162	2	4	28	2
ENST00000563456.1	47704	49268	74162	2	3	32	2
ENST00000423948.1	80393	86264	74162	2	7	35	3
ENST00000439456.5	134464	237650	86264	1	5	42	4
ENST00000397962.8	134464	252469	237650	1	15	47	4
ENST00000381604.8	134464	254625	252469	1	13	62	4
ENST00000397959.7	134483	254625	254625	1	13	75	4
ENST00000309776.8	134483	254625	254625	1	14	88	4
ENST00000509513.6	134702	249260	254625	1	14	102	4
ENST00000381591.5	135068	254636	254625	1	15	116	4
ENST00000403354.5	135483	252469	254636	1	13	131	4
ENST00000381607.8	135483	254625	254636	1	14	144	4
ENST00000402736.5	135508	254633	254636	1	14	158	4
ENST00000619384.1	147819	148750	254636	2	2	172	5
ENST00000391029.1	154830	154942	254636	2	1	174	6
ENST00000602682.5	179989	252579	254636	1	12	175	4
ENST00000397955.6	179993	237662	254636	1	6	187	4
ENST00000381584.5	179993	253255	254636	1	15	193	4
ENST00000558098.4	180012	249260	254636	1	13	208	4
ENST00000627286.1	197940	254625	254636	1	14	221	4
ENST00000488275.1	239961	246998	254636	1	4	235	4
ENST00000473115.1	244470	248530	254636	1	4	239	4
ENST00000381496.7	274189	486557	254636	2	36	243	7
ENST00000280886.11	274197	689667	486557	2	37	279	7
ENST00000634311.1	277322	689667	689667	2	39	316	7
ENST00000364991.1	282014	282124	689667	2	1	355	8
ENST00000434695.2	324638	329525	689667	2	3	356	7
ENST00000421992.2	364961	390015	689667	2	8	359	7
ENST00000470784.3	430238	430503	689667	2	1	367	9
ENST00000425723.2	437560	441169	689667	1	2	368	10
ENST00000451601.1	628637	631254	689667	1	2	370	11
ENST00000578903.1	641688	641777	689667	2	1	372	12
ENST00000441152.3	649947	652654	689667	1	3	373	13
ENST00000381489.6	650076	669580	689667	1	3	376	13
ENST00000443662.1	663557	666621	689667	1	2	379	13
ENST00000412695.1	743991	744957	689667	1	2	381	14
ENST00000614908.4	806913	815009	744957	2	4	383	15
ENST00000612396.4	806913	931704	815009	2	18	387	15
ENST00000316157.7	809541	885761	931704	2	17	405	15
ENST00000609318.5	811805	820929	931704	2	4	422	15
ENST00000448368.5	812505	825243	931704	2	6	426	15
ENST00000440895.2	814441	817845	931704	2	3	432	15
ENST00000608970.1	814441	817845	931704	2	3	435	15
ENST00000469487.1	814761	815714	931704	2	2	438	15
ENST00000476529.5	863742	931499	931704	2	6	440	15
ENST00000406525.6	863778	931623	931704	2	6	446	15
ENST00000481118.1	864153	931475	931704	2	5	452	15
ENST00000412411.1	864240	903514	931704	2	5	457	15
ENST00000435531.1	933025	942742	931704	1	3	462	16
ENST00000381466.2	971145	988340	942742	2	2	465	17
ENST00000615314.1	985225	988328	988340	2	1	467	17
ENST00000360803.8	988018	1019935	988340	1	17	468	18
ENST00000491635.1	988461	1010516	1019935	1	11	485	18
ENST00000360059.5	988705	997307	1019935	1	5	496	18
ENST00000491261.1	1005837	1007319	1019935	1	2	501	18
ENST00000483839.2	1012399	1017196	1019935	1	4	503	18
ENST00000277517.1	1018906	1025858	1019935	2	5	507	19
ENST00000437374.5	1022665	1044200	1025858	1	3	512	20
ENST00000420381.5	1022667	1043682	1044200	1	5	515	20
ENST00000428780.2	1022667	1044197	1044200	1	4	520	20
ENST00000434470.1	1022673	1035920	1044200	1	3	524	20
ENST00000536039.2	1036822	1044023	1044200	1	6	527	20
ENST00000429642.2	1039151	1048882	1044200	2	5	533	21
ENST00000381344.7	1039907	1049169	1048882	2	5	538	21
ENST00000491735.1	1040902	1049102	1049169	2	4	543	21
ENST00000427898.5	1042548	1048396	1049169	2	3	547	21
ENST00000482091.1	1042676	1048934	1049169	2	3	550	21
ENST00000358220.5	1049537	1132296	1049169	1	14	553	22
ENST00000620998.4	1056403	1096624	1132296	1	10	567	22
ENST00000381329.5	1056403	1096625	1132296	1	9	577	22
ENST00000650072.1	1056846	1132383	1132296	1	16	586	22
ENST00000263150.8	1056857	1132169	1132383	1	14	602	22
ENST00000436154.1	1074382	1096245	1132383	1	8	616	22
ENST00000482165.1	1123806	1129251	1132383	1	4	624	22
ENST00000425630.1	1159767	1164671	1132383	1	3	628	23
ENST00000583117.1	1159803	1160996	1164671	1	2	631	23
ENST00000647993.1	1159811	1164788	1164671	1	4	633	23
ENST00000381312.5	1177317	1737475	1164788	2	10	637	24
ENST00000381310.7	1182133	1200359	1737475	2	3	647	24
ENST00000474762.5	1182844	1186565	1737475	2	3	650	24
ENST00000490172.1	1183042	1188245	1737475	2	3	653	24
ENST00000381305.1	1183150	1200384	1737475	2	4	656	24
ENST00000477140.1	1199445	1200370	1737475	2	2	660	24
ENST00000469464.1	1215675	1240529	1737475	2	3	662	24
ENST00000632982.1	1290017	1293001	1737475	2	1	665	25
ENST00000432987.1	1361000	1361636	1737475	2	2	666	26
ENST00000421697.2	1526636	1556983	1737475	1	2	668	27
ENST00000381301.3	1526762	1535672	1737475	1	3	670	27
ENST00000413603.5	2005472	2014347	1737475	2	3	673	28
ENST00000438372.1	2012264	2014347	2014347	2	3	676	28
ENST00000454424.1	2012652	2013410	2014347	2	2	679	28
ENST00000435539.1	2071844	2081096	2014347	1	2	681	29
ENST00000622225.1	2076018	2076088	2081096	2	1	683	30
ENST00000517189.1	2098166	2098268	2081096	1	1	684	31
ENST00000421077.1	2166331	2169459	2098268	1	2	685	32
ENST00000418524.6	2169139	2189473	2169459	2	5	687	33
ENST00000436003.2	2169146	2176431	2189473	2	2	692	33
