N_unmapped	22290	22290	22290
N_multimapping	297114	297114	297114
N_noFeature	194078	219965	2342119
N_ambiguous	148374	31037	4688
ENSG00000260370.1	0	0	0
ENSG00000237297.1	0	0	0
ENSG00000261456.5	10	10	0
ENSG00000232420.2	0	0	0
ENSG00000015171.19	6430	6320	110
ENSG00000276662.1	2	0	2
ENSG00000212331.1	1	0	1
ENSG00000151240.16	1215	1222	3
ENSG00000201861.1	1	1	0
ENSG00000239822.3	0	0	0
ENSG00000233021.2	0	0	10
ENSG00000225140.1	1	0	1
ENSG00000263511.1	0	0	0
ENSG00000180525.11	51	47	4
ENSG00000231601.1	0	0	0
ENSG00000107929.14	4989	4968	21
ENSG00000229869.1	7	7	0
ENSG00000205740.2	42	51	0
ENSG00000107937.18	10131	10143	189
ENSG00000148377.5	2	2	195
ENSG00000232656.7	9	31	991
ENSG00000067064.11	2268	3199	82
ENSG00000047056.15	1021	965	59
ENSG00000229205.3	0	0	0
ENSG00000185736.15	0	0	0
ENSG00000282390.1	0	0	0
ENSG00000233052.1	0	0	0
ENSG00000205696.4	0	0	0
ENSG00000234962.5	0	0	0
ENSG00000226694.2	0	0	0
ENSG00000278069.1	0	0	0
ENSG00000252998.1	0	0	0
ENSG00000227912.1	0	0	0
ENSG00000231326.6	0	0	0
ENSG00000212156.1	0	0	0
ENSG00000234556.1	0	0	0
ENSG00000234170.5	0	0	0
ENSG00000237500.1	0	0	0
ENSG00000235281.1	0	0	0
ENSG00000231743.1	0	0	0
ENSG00000234182.1	0	0	0
ENSG00000273001.1	37	38	0
ENSG00000067057.16	28282	28138	150
ENSG00000278419.1	0	0	0
ENSG00000107959.15	5888	7233	148
ENSG00000237399.7	88	83	1487
ENSG00000236968.1	0	0	0
ENSG00000226762.2	0	0	0
ENSG00000227338.1	0	0	0
ENSG00000233321.1	1	0	1
ENSG00000236892.1	0	0	0
ENSG00000229672.2	1	0	1
ENSG00000228353.1	0	0	0
ENSG00000067082.14	10079	9981	98
ENSG00000230573.1	1	1	0
ENSG00000226005.4	1	1	0
ENSG00000274809.1	0	0	0
ENSG00000227101.1	0	0	0
ENSG00000236990.1	0	0	0
ENSG00000233117.2	1	1	0
ENSG00000224382.1	0	0	0
ENSG00000230096.1	0	0	0
ENSG00000207124.1	0	0	0
ENSG00000231298.6	68	68	3
ENSG00000225269.2	9	0	12
ENSG00000165568.17	698	692	6
ENSG00000151631.8	6	0	6
ENSG00000238840.1	17	0	17
ENSG00000187134.13	26161	25027	1224
ENSG00000151632.17	117251	117096	346
ENSG00000224251.6	340	19	417
ENSG00000239148.1	20	0	20
ENSG00000196139.13	52406	52252	158
ENSG00000239142.1	1	0	1
