chr10	134787	179993	1	1	1	4	0	12
chr10	134893	179993	1	1	1	14	0	16
chr10	135204	179993	1	1	0	1	0	24
chr10	135303	179993	1	1	1	18	0	24
chr10	135560	150096	1	1	0	4	0	19
chr10	135560	150517	1	1	0	1	0	18
chr10	135560	179993	1	1	1	230	0	25
chr10	135560	209888	1	1	0	3	0	20
chr10	150259	150517	1	1	0	2	0	18
chr10	180129	209888	1	1	1	209	0	25
chr10	198006	209888	1	1	1	2	0	16
chr10	210049	221194	1	1	1	131	0	25
chr10	210049	236837	1	1	1	33	0	24
chr10	221357	236837	1	1	1	228	1	25
chr10	236916	237584	1	1	1	166	0	25
chr10	237678	239437	1	1	1	131	0	25
chr10	237678	240055	1	1	0	1	0	14
chr10	239526	240055	1	1	1	171	1	25
chr10	239526	240058	1	1	1	6	0	21
chr10	240112	240892	1	1	1	121	0	25
chr10	240112	242020	1	1	1	3	0	25
chr10	240112	246765	1	1	0	1	0	22
chr10	240971	242020	1	1	1	123	0	25
chr10	240971	242075	1	1	0	1	0	20
chr10	242140	246765	1	1	1	164	0	25
chr10	246927	247397	1	1	0	1	0	17
chr10	246974	247397	1	1	1	246	0	25
chr10	246974	248335	1	1	0	1	0	25
chr10	247467	248335	1	1	1	223	0	25
chr10	248609	248902	1	1	1	178	0	24
chr10	249089	252347	1	1	1	278	0	25
chr10	249089	255226	1	1	0	1	0	23
chr10	277578	281101	2	2	0	4	0	25
chr10	277578	281199	2	2	1	23	0	25
chr10	281324	283271	2	2	1	7	0	23
chr10	283447	286272	2	2	1	14	0	24
chr10	286348	288363	2	2	1	13	0	21
chr10	288422	310030	2	2	1	24	0	24
chr10	310093	311536	2	2	1	1	0	14
chr10	310093	327005	2	2	1	14	0	24
chr10	327177	329432	2	2	1	17	0	25
chr10	329602	341198	2	2	1	8	0	24
chr10	335853	341198	2	2	0	1	0	15
chr10	340993	341198	2	2	0	1	0	17
chr10	341330	344808	2	2	1	28	0	25
chr10	344919	344998	2	2	1	18	0	24
chr10	345111	348640	2	2	1	14	0	25
chr10	348763	349330	2	2	1	9	0	20
chr10	349455	356425	2	2	1	13	0	24
chr10	356507	357827	2	2	1	15	0	25
chr10	357938	362489	2	2	1	11	0	18
chr10	362692	363196	2	2	1	9	0	25
chr10	363312	364373	2	2	1	20	0	23
chr10	364583	366274	2	2	1	16	0	21
chr10	366412	369493	2	2	1	21	0	25
chr10	369634	369960	2	2	0	1	0	14
chr10	369634	370494	2	2	0	3	0	23
chr10	369634	373012	2	2	0	5	0	23
chr10	369634	382646	2	2	1	10	0	23
chr10	382762	384026	2	2	1	19	0	22
chr10	383069	384026	2	2	0	1	0	25
chr10	384147	384545	2	2	1	21	0	25
chr10	384640	387744	2	2	1	18	0	23
chr10	387810	389990	2	2	1	9	0	22
chr10	390094	390263	2	2	1	10	0	22
chr10	390374	390739	2	2	1	12	0	23
chr10	390864	399108	2	2	1	13	0	25
chr10	399220	408925	2	2	1	11	0	22
chr10	409018	413912	2	2	1	11	0	25
chr10	414111	415768	2	2	1	25	0	20
chr10	415889	419064	2	2	1	13	0	23
chr10	419200	422823	2	2	1	6	0	20
chr10	423034	440870	2	2	1	8	0	24
chr10	440997	472438	2	2	1	5	0	25
chr10	472550	486458	2	2	1	14	0	24
chr10	484949	486458	2	2	1	1	0	13
chr10	486531	513440	2	2	0	1	0	24
chr10	486531	689493	2	2	1	14	0	22
chr10	513624	513892	2	2	0	1	0	19
chr10	650179	650290	1	1	1	1	0	4
chr10	650443	651110	1	1	0	3	0	24
chr10	650443	662025	1	1	1	1	0	5
chr10	650443	662790	1	1	0	1	0	17
chr10	808273	812920	2	2	1	3	0	24
chr10	813214	814636	2	2	1	13	0	24
chr10	813214	814741	2	2	1	85	0	25
chr10	813257	814741	2	2	0	1	0	25
chr10	814851	814945	2	2	1	101	0	25
chr10	815071	817724	2	2	1	96	0	25
chr10	817162	817724	2	2	0	1	0	19
chr10	817890	820799	2	2	1	144	0	25
chr10	820846	825064	2	2	1	77	0	25
chr10	825317	825763	2	4	1	102	0	25
